kanji,freq
六,747
絵,748
銀,749
登,750
昼,751
適,752
協,753
皮,754
営,755
羽,756
被,757
避,758
聖,759
涙,760
七,761
費,762
将,763
衣,764
規,765
闘,766
誘,767
佐,768
亡,769
症,770
至,771
館,772
便,773
陰,774
昨,775
締,776
刀,777
否,778
補,779
襲,780
狂,781
祭,782
厳,783
継,784
禁,785
魚,786
芸,787
震,788
隣,789
統,790
窓,791
互,792
皆,793
姉,794
究,795
養,796
敷,797
順,798
春,799
穴,800
系,801
庭,802
借,803
徒,804
甲,805
臭,806
欠,807
障,808
村,809
晴,810
伏,811
柄,812
句,813
迫,814
湯,815
挙,816
崩,817
奪,818
繰,819
香,820
京,821
属,822
汚,823
清,824
列,825
頑,826
箱,827
叫,828
儀,829
犬,830
史,831
担,832
夕,833
児,834
週,835
米,836
陽,837
己,838
純,839
遺,840
井,841
貸,842
憶,843
慢,844
更,845
雲,846
距,847
洋,848
屈,849
叩,850
緊,851
拠,852
露,853
模,854
荷,855
袋,856
威,857
夏,858
弟,859
堂,860
給,861
辞,862
華,863
尾,864
及,865
評,866
額,867
健,868
織,869
福,870
黄,871
尻,872
棒,873
酸,874
志,875
層,876
沈,877
陸,878
寒,879
丁,880
了,881
鏡,882
善,883
歴,884
液,885
英,886
展,887
司,888
区,889
鬼,890
専,891
功,892
易,893
筆,894
皇,895
療,896
宝,897
九,898
灯,899
略,900
焦,901
群,902
操,903
慮,904
才,905
婦,906
宅,907
損,908
煙,909
懐,910
描,911
猫,912
裂,913
勘,914
飾,915
砂,916
録,917
狙,918
乳,919
源,920
悩,921
仏,922
幼,923
辛,924
枚,925
扱,926
陣,927
諸,928
訪,929
延,930
干,931
悔,932
含,933
誤,934
各,935
植,936
床,937
炎,938
舌,939
承,940
省,941
蔵,942
致,943
援,944
域,945
跳,946
糸,947
悟,948
盗,949
輝,950
如,951
裁,952
揚,953
潰,954
燃,955
巡,956
推,957
財,958
殿,959
徳,960
粉,961
編,962
耐,963
頂,964
妻,965
肌,966
栄,967
勇,968
傾,969
潜,970
環,971
紅,972
奴,973
幕,974
縮,975
巨,976
称,977
幾,978
酔,979
杯,980
闇,981
複,982
則,983
授,984
厚,985
即,986
麗,987
施,988
劇,989
賞,990
塩,991
衝,992
岩,993
晩,994
監,995
測,996
勤,997
般,998
脈,999
珍,1000
永,1001
仰,1002
松,1003
愚,1004
透,1005
橋,1006
暇,1007
執,1008
矢,1009
汗,1010
呂,1011
銃,1012
革,1013
埋,1014
塗,1015
滑,1016
封,1017
庫,1018
標,1019
浴,1020
舎,1021
到,1022
添,1023
剤,1024
柔,1025
砲,1026
蹴,1027
垂,1028
討,1029
臓,1030
勉,1031
妹,1032
寂,1033
捜,1034
県,1035
河,1036
希,1037
釣,1038
刑,1039
占,1040
敬,1041
候,1042
氷,1043
聴,1044
偽,1045
輩,1046
膝,1047
針,1048
泊,1049
競,1050
雄,1051
農,1052
課,1053
乾,1054
虚,1055
尊,1056
免,1057
秋,1058
依,1059
請,1060
坊,1061
倍,1062
祝,1063
泥,1064
忍,1065
宗,1066
宙,1067
札,1068
寺,1069
委,1070
懸,1071
漏,1072
宣,1073
午,1074
党,1075
獣,1076
祖,1077
菜,1078
版,1079
溜,1080
衆,1081
訴,1082
府,1083
覆,1084
籠,1085
戒,1086
牛,1087
林,1088
樹,1089
恩,1090
眉,1091
企,1092
税,1093
宇,1094
猛,1095
航,1096
房,1097
停,1098
冗,1099
抑,1100
擦,1101
緩,1102
腐,1103
狭,1104
那,1105
麻,1106
盤,1107
創,1108
嘘,1109
揃,1110
旧,1111
審,1112
載,1113
脚,1114
詳,1115
諦,1116
沢,1117
緑,1118
災,1119
裕,1120
豆,1121
煮,1122
臣,1123
豪,1124
竜,1125
築,1126
貧,1127
憎,1128
躍,1129
廃,1130
章,1131
帝,1132
呪,1133
硬,1134
玄,1135
充,1136
谷,1137
恵,1138
藤,1139
掃,1140
就,1141
獄,1142
吉,1143
濃,1144
忠,1145
招,1146
卒,1147
鮮,1148
斬,1149
呆,1150
範,1151
趣,1152
索,1153
典,1154
刃,1155
幅,1156
拍,1157
絞,1158
姫,1159
酷,1160
隙,1161
預,1162
律,1163
艦,1164
泉,1165
嬢,1166
里,1167
氏,1168
掻,1169
冬,1170
森,1171
哀,1172
逸,1173
貫,1174
講,1175
癖,1176
歓,1177
益,1178
岸,1179
臨,1180
柱,1181
頬,1182
帳,1183
熟,1184
侵,1185
拝,1186
雷,1187
採,1188
携,1189
傍,1190
竹,1191
努,1192
誇,1193
拾,1194
噛,1195
齢,1196
詞,1197
羅,1198
濡,1199
徹,1200
網,1201
溶,1202
偶,1203
卵,1204
忙,1205
稼,1206
殴,1207
港,1208
靴,1209
康,1210
魂,1211
紛,1212
富,1213
訓,1214
幻,1215
菓,1216
惜,1217
奮,1218
騎,1219
豊,1220
随,1221
鍵,1222
昇,1223
既,1224
奏,1225
漢,1226
寸,1227
撮,1228
褒,1229
州,1230
汁,1231
紹,1232
双,1233
砕,1234
尋,1235
肝,1236
掘,1237
裸,1238
覧,1239
覗,1240
択,1241
伊,1242
唯,1243
縛,1244
俗,1245
郷,1246
博,1247
看,1248
縦,1249
喉,1250
繋,1251
鋭,1252
拳,1253
磨,1254
賛,1255
恨,1256
穏,1257
烈,1258
倉,1259
祈,1260
嫁,1261
剥,1262
診,1263
秒,1264
馴,1265
徴,1266
罰,1267
戯,1268
抵,1269
偉,1270
棄,1271
揮,1272
釈,1273
脅,1274
踊,1275
副,1276
貨,1277
秀,1278
潮,1279
浅,1280
脇,1281
曜,1282
炭,1283
凍,1284
狩,1285
譲,1286
銭,1287
噂,1288
謀,1289
召,1290
呑,1291
江,1292
塞,1293
僧,1294
棚,1295
慌,1296
拭,1297
津,1298
挟,1299
遇,1300
雰,1301
催,1302
述,1303
紀,1304
唱,1305
劣,1306
睨,1307
鈍,1308
挑,1309
粒,1310
縄,1311
核,1312
爪,1313
椅,1314
誌,1315
遭,1316
唐,1317
童,1318
麦,1319
暖,1320
排,1321
惚,1322
拒,1323
契,1324
蛇,1325
隅,1326
阿,1327
賢,1328
往,1329
嘆,1330
旗,1331
凄,1332
季,1333
削,1334
湖,1335
渉,1336
拡,1337
控,1338
這,1339
凝,1340
央,1341
彩,1342
蓋,1343
没,1344
輸,1345
隔,1346
唇,1347
粗,1348
膨,1349
魅,1350
摘,1351
堪,1352
券,1353
憂,1354
匂,1355
咲,1356
灰,1357
